country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Iran,IRN,630.0,364.0,IRN,1259,55,"There have been an estimated 1259 fatalities recorded in Iran from 55 events in 3 conflict dyads (Iran - Israel, Israel: Palestine, Iran: Government), since June 2024. The most recent conflict event was on 24 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Turkey,TUR,640.0,792.0,TUR,20,21,"There have been an estimated 20 fatalities recorded in Turkey from 21 events in the Turkey: Kurdistan conflict dyad, since June 2024. The most recent conflict event was on 29 October 2024.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Iraq,IRQ,645.0,368.0,IRQ,289,182,"There have been an estimated 289 fatalities recorded in Iraq from 182 events in 3 conflict dyads (Iraq: Government, Turkey: Kurdistan, IS - Civilians), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Syria,SYR,652.0,760.0,SYR,3364,748,"There have been an estimated 3364 fatalities recorded in Syria from 748 events in 11 conflict dyads (SNA - SDF, Government of Syria - Civilians, IS - SDF, IS - Civilians, Iran - Israel, Syria: Government, Syria: Islamic State, Syria: Government/Rojava Kurdistan, Israel: Palestine, Israel: Southern Lebanon, Government of Israel - Civilians), since June 2024. The most recent conflict event was on 25 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Lebanon,LBN,660.0,422.0,LEB,4127,1066,"There have been an estimated 4127 fatalities recorded in Lebanon from 1066 events in 2 conflict dyads (Israel: Southern Lebanon, Israel: Palestine), since June 2024. The most recent conflict event was on 28 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Israel,ISR,666.0,376.0,ISR,18357,3172,"There have been an estimated 18357 fatalities recorded in Israel from 3172 events in 4 conflict dyads (Israel: Palestine, Iran - Israel, Government of Israel - Civilians, Israel: Southern Lebanon), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Saudi Arabia,SAU,670.0,682.0,SAU,5,1,"There have been an estimated 5 fatalities recorded in Saudi Arabia from 1 events in the Yemen (North Yemen): Government conflict dyad, since June 2024. The most recent conflict event was on 10 March 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Yemen,YEM,678.0,887.0,YEM,1377,230,"There have been an estimated 1377 fatalities recorded in Yemen (North Yemen) from 230 events in 5 conflict dyads (Yemen (North Yemen): Government, United Kingdom, United States of America - Yemen, AQAP - Forces of the Presidential Leadership Council, Israel: Palestine, Australia, Bahrain, Canada, France, Italy, Netherlands, New Zeeland, Norway, Spain, United Kingdom, United States of America - Yemen), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Afghanistan,AFG,700.0,4.0,AFG,232,96,"There have been an estimated 232 fatalities recorded in Afghanistan from 96 events in 6 conflict dyads (Afghanistan: Islamic State, Pakistan: Government, Afghanistan - Pakistan, Afghanistan: Government, IS - Civilians, Government of Afghanistan - Civilians), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
India,IND,750.0,356.0,IND,584,180,"There have been an estimated 584 fatalities recorded in India from 180 events in 5 conflict dyads (India: Government, India: Kashmir, Kashmir insurgents - Civilians, CPI-Maoist - Civilians, Kuki - Meitei), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Pakistan,PAK,770.0,586.0,PAK,2636,840,"There have been an estimated 2636 fatalities recorded in Pakistan from 840 events in 8 conflict dyads (Pakistan: Government, Pakistan: Balochistan, IS - Civilians, India: Kashmir, TTP - Civilians, BRAS - Civilians, Shia (Pakistan) - Sunni (Pakistan), Afghanistan - Pakistan), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Bangladesh,BGD,771.0,50.0,BNG,353,39,"There have been an estimated 353 fatalities recorded in Bangladesh from 39 events in the Opponents of Hasina - Supporters of Awami League conflict dyad, since June 2024. The most recent conflict event was on 29 September 2024.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Myanmar (Burma),MMR,775.0,104.0,MYA,2257,713,"There have been an estimated 2257 fatalities recorded in Myanmar (Burma) from 713 events in 8 conflict dyads (Myanmar (Burma): Arakan, Myanmar (Burma): Government, Myanmar (Burma): Kachin, Government of Myanmar (Burma) - Civilians, Myanmar (Burma): Karenni, Myanmar (Burma): Karen, Myanmar (Burma): Kokang, Myanmar (Burma): Pa-O), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Thailand,THA,800.0,764.0,THI,13,10,"There have been an estimated 13 fatalities recorded in Thailand from 10 events in the Thailand: Patani conflict dyad, since June 2024. The most recent conflict event was on 17 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Philippines,PHL,840.0,608.0,PHI,92,33,"There have been an estimated 92 fatalities recorded in Philippines from 33 events in 2 conflict dyads (Philippines: Government, Philippines: Islamic State), since June 2024. The most recent conflict event was on 19 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Indonesia,IDN,850.0,360.0,INS,28,20,"There have been an estimated 28 fatalities recorded in Indonesia from 20 events in the Indonesia: West Papua conflict dyad, since June 2024. The most recent conflict event was on 20 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Papua New Guinea,PNG,910.0,598.0,PNG,58,4,"There have been an estimated 58 fatalities recorded in Papua New Guinea from 4 events in 2 conflict dyads (I don't care - Civilians, Piande - Sakar), since June 2024. The most recent conflict event was on 15 September 2024.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
