country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Sudan,SDN,625,729.0,SUD,6316,377,"There have been an estimated 6316 fatalities recorded in Sudan from 377 events in 5 conflict dyads (Sudan: Government, Habaniya  - Salamat Baggara, RSF - Civilians, Twic Dinka - Ngok Dinka, Arab - Masalit), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
South Sudan,SSD,626,728.0,SSD,34,1,"There have been an estimated 34 fatalities recorded in South Sudan from 1 events in the Twic Dinka - Ngok Dinka conflict dyad, since June 2023. The most recent conflict event was on 18 November 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Iran,IRN,630,364.0,IRN,121,9,"There have been an estimated 121 fatalities recorded in Iran from 9 events in 3 conflict dyads (Iran: Government, IS - Civilians, Pakistan: Balochistan), since June 2023. The most recent conflict event was on 20 February 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Turkey,TUR,640,792.0,TUR,42,34,"There have been an estimated 42 fatalities recorded in Turkey from 34 events in 2 conflict dyads (Turkey: Kurdistan, IS - Civilians), since June 2023. The most recent conflict event was on 24 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Iraq,IRQ,645,368.0,IRQ,387,212,"There have been an estimated 387 fatalities recorded in Iraq from 212 events in 4 conflict dyads (Turkey: Kurdistan, Iraq: Government, IS - Civilians, Iran - Israel), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Syria,SYR,652,760.0,SYR,2593,1041,"There have been an estimated 2593 fatalities recorded in Syria from 1041 events in 9 conflict dyads (SNA - SDF, Syria: Islamic State, Iran - Israel, IS - SDF, Syria: Government, Syria: Government/Rojava Kurdistan, IS - Civilians, Turkey: Kurdistan, Deir ez Zor Military Council - SDF), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Lebanon,LBN,660,422.0,LEB,318,129,"There have been an estimated 318 fatalities recorded in Lebanon from 129 events in 3 conflict dyads (Israel: Southern Lebanon, Israel: Palestine, Government of Israel - Civilians), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Israel,ISR,666,376.0,ISR,30820,2389,"There have been an estimated 30820 fatalities recorded in Israel from 2389 events in 4 conflict dyads (Israel: Palestine, Government of Israel - Civilians, Israel: Southern Lebanon, Hamas - Civilians), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Saudi Arabia,SAU,670,682.0,SAU,9,3,"There have been an estimated 9 fatalities recorded in Saudi Arabia from 3 events in the Yemen (North Yemen): Government conflict dyad, since June 2023. The most recent conflict event was on 25 October 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Yemen,YEM,678,887.0,YEM,440,185,"There have been an estimated 440 fatalities recorded in Yemen (North Yemen) from 185 events in 3 conflict dyads (Yemen (North Yemen): Government, AQAP - Forces of the Presidential Leadership Council, Australia, Bahrain, Canada, France, Italy, Netherlands, New Zeeland, Norway, Spain, United Kingdom, United States of America - Yemen), since June 2023. The most recent conflict event was on 13 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Afghanistan,AFG,700,4.0,AFG,201,101,"There have been an estimated 201 fatalities recorded in Afghanistan from 101 events in 5 conflict dyads (IS - Civilians, Afghanistan: Islamic State, Government of Afghanistan - Civilians, Afghanistan: Government, Pakistan: Government), since June 2023. The most recent conflict event was on 12 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
India,IND,750,356.0,IND,394,174,"There have been an estimated 394 fatalities recorded in India from 174 events in 5 conflict dyads (India: Kashmir, CPI-Maoist - Civilians, India: Government, Myanmar (Burma): Government, Kuki - Meitei), since June 2023. The most recent conflict event was on 26 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Pakistan,PAK,770,586.0,PAK,1135,441,"There have been an estimated 1135 fatalities recorded in Pakistan from 441 events in 6 conflict dyads (Pakistan: Government, IS - Civilians, Pakistan: Balochistan, TTP - Civilians, BRAS - Civilians, Shia (Pakistan) - Sunni (Pakistan)), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Myanmar (Burma),MMR,775,104.0,MYA,2901,1603,"There have been an estimated 2901 fatalities recorded in Myanmar (Burma) from 1603 events in 8 conflict dyads (Government of Myanmar (Burma) - Civilians, Myanmar (Burma): Government, Myanmar (Burma): Kachin, Myanmar (Burma): Karen, Myanmar (Burma): Kokang, Myanmar (Burma): Karenni, Myanmar (Burma): Arakan, Myanmar (Burma): Pa-O), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Thailand,THA,800,764.0,THI,16,11,"There have been an estimated 16 fatalities recorded in Thailand from 11 events in the Thailand: Patani conflict dyad, since June 2023. The most recent conflict event was on 09 November 2023.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Philippines,PHL,840,608.0,PHI,205,78,"There have been an estimated 205 fatalities recorded in Philippines from 78 events in 3 conflict dyads (Philippines: Government, Philippines: Islamic State, IS - Civilians), since June 2023. The most recent conflict event was on 26 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Indonesia,IDN,850,360.0,INS,135,28,"There have been an estimated 135 fatalities recorded in Indonesia from 28 events in 2 conflict dyads (Indonesia: West Papua, OPM - Civilians), since June 2023. The most recent conflict event was on 29 June 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
Papua New Guinea,PNG,910,598.0,PNG,63,1,"There have been an estimated 63 fatalities recorded in Papua New Guinea from 1 events in the Ambulin, Itokon Nenae, Lungipin, Sau, Sau Walep, Yandamau, Yokoend, Yopo - Kaekin, Palinau, Sikin conflict dyad, since June 2023. The most recent conflict event was on 18 February 2024.",June 2023,June 2024,12 months,UCDP GED Candidate (June 2024)
